,From,To,Weight
522,MEGHALAYA,TRIPURA,458
523,TAMIL NADU,HIMACHAL PRADESH,460
524,UTTARAKHAND,DADRA & NAGAR HAVELI,463
525,NCT OF DELHI,PUDUCHERRY,466
526,KERALA,DAMAN & DIU,468
527,ODISHA,SIKKIM,470
528,MEGHALAYA,ARUNACHAL PRADESH,471
529,MIZORAM,NCT OF DELHI,476
530,WEST BENGAL,PUDUCHERRY,480
531,MAHARASHTRA,LAKSHADWEEP,481
532,ODISHA,NAGALAND,490
533,KERALA,MEGHALAYA,490
534,MAHARASHTRA,MEGHALAYA,492
535,UTTARAKHAND,ODISHA,494
536,UTTARAKHAND,KERALA,506
537,ARUNACHAL PRADESH,UTTAR PRADESH,508
538,UTTAR PRADESH,PUDUCHERRY,511
539,ODISHA,ANDAMAN & NICOBAR ISLANDS,515
540,JHARKHAND,MIZORAM,520
541,PUNJAB,GOA,522
542,RAJASTHAN,PUDUCHERRY,522
543,JAMMU & KASHMIR,ASSAM,523
544,ARUNACHAL PRADESH,MAHARASHTRA,530
545,ANDHRA PRADESH,DADRA & NAGAR HAVELI,532
546,NAGALAND,KERALA,532
547,MANIPUR,PUNJAB,538
548,KERALA,ARUNACHAL PRADESH,558
549,KERALA,NAGALAND,566
550,CHANDIGARH,TAMIL NADU,569
551,SIKKIM,NCT OF DELHI,576
552,GOA,NCT OF DELHI,581
553,SIKKIM,HIMACHAL PRADESH,584
554,BIHAR,MIZORAM,601
555,UTTARAKHAND,TAMIL NADU,603
556,UTTARAKHAND,ASSAM,605
557,KARNATAKA,ASSAM,607
558,UTTARAKHAND,BIHAR,609
559,UTTARAKHAND,NAGALAND,620
560,ARUNACHAL PRADESH,NAGALAND,620
561,KERALA,BIHAR,621
562,MEGHALAYA,UTTAR PRADESH,628
563,JHARKHAND,ARUNACHAL PRADESH,628
564,DAMAN & DIU,DADRA & NAGAR HAVELI,629
565,MANIPUR,UTTARAKHAND,631
566,JHARKHAND,NAGALAND,636
567,HIMACHAL PRADESH,ANDHRA PRADESH,644
568,KARNATAKA,DADRA & NAGAR HAVELI,647
569,BIHAR,ANDAMAN & NICOBAR ISLANDS,651
570,HARYANA,GOA,654
571,GUJARAT,JAMMU & KASHMIR,658
572,PUDUCHERRY,MAHARASHTRA,658
573,ARUNACHAL PRADESH,MEGHALAYA,661
574,KARNATAKA,JAMMU & KASHMIR,665
575,CHANDIGARH,ANDHRA PRADESH,666
576,KERALA,JAMMU & KASHMIR,674
577,TAMIL NADU,ASSAM,683
578,JAMMU & KASHMIR,SIKKIM,687
579,ARUNACHAL PRADESH,HIMACHAL PRADESH,695
580,UTTARAKHAND,MEGHALAYA,695
581,NAGALAND,MANIPUR,703
582,ANDAMAN & NICOBAR ISLANDS,KARNATAKA,706
583,RAJASTHAN,MEGHALAYA,707
584,HIMACHAL PRADESH,JHARKHAND,707
585,TAMIL NADU,JAMMU & KASHMIR,711
586,KERALA,ASSAM,717
587,CHHATTISGARH,CHANDIGARH,735
588,RAJASTHAN,ARUNACHAL PRADESH,736
589,CHHATTISGARH,GOA,749
590,ODISHA,ARUNACHAL PRADESH,762
591,UTTARAKHAND,JHARKHAND,762
592,GUJARAT,PUDUCHERRY,770
593,NAGALAND,ARUNACHAL PRADESH,779
